query,reference_answer
How do I configure a trunk port on a Cisco switch?,"To configure a trunk port on a Cisco switch, enter global configuration mode and access the desired interface:

interface GigabitEthernet0/1
 switchport mode trunk
 switchport trunk allowed vlan all  (not recommended; it's best to restrict to only required VLANs)

This sets the port to operate in trunk mode, allowing all VLANs by default. In real-world scenarios, it's best practice to explicitly specify only the required VLANs to reduce unnecessary broadcast traffic:

switchport trunk allowed vlan 10,20,30

You can verify the trunking status using 'show interfaces trunk'. After configuration, always save the settings with 'write memory' to ensure persistence after reboot."
What is MSTP and how is it different from RSTP?,"MSTP (Multiple Spanning Tree Protocol) enhances network efficiency by allowing multiple VLANs to share a single spanning tree instance, reducing CPU and memory load on switches. You define a mapping of VLANs to MST instances in a region-wide configuration.

In contrast, RSTP (Rapid Spanning Tree Protocol) is a faster version of STP but treats each VLAN separately when used in PVST+ environments. MSTP supports backward compatibility with RSTP and STP on legacy links and improves scalability in large Layer 2 networks with hundreds of VLANs by reducing the number of active spanning tree instances."
How do I configure DHCP snooping on an Aruba switch?,"DHCP snooping is a security feature that prevents rogue DHCP servers from assigning IP addresses. On Aruba switches (AOS-S or AOS-CX), configuration generally includes the following steps:

dhcp-snooping
 dhcp-snooping vlan 10
 dhcp-snooping trust <uplink-port>

Enable DHCP snooping globally, specify the VLANs where it should apply, and mark trusted interfaces—typically uplinks to your DHCP server or core switch. All other ports are untrusted by default and will drop unauthorized DHCP offers. Use 'show dhcp-snooping' to verify the configuration and ensure the binding table is being built correctly."
What is the function of port security on switches?,"Port security allows administrators to control which devices can access a network through a specific switch port. It does this by limiting the number of MAC addresses that can be dynamically or statically learned. For example:

switchport port-security
switchport port-security maximum 2
switchport port-security violation shutdown
switchport port-security mac-address sticky

This setup allows two MAC addresses per port, shuts the port on violations, and dynamically learns MACs using the “sticky” method. Port security is crucial in access-layer switches to prevent MAC spoofing, reduce attack surfaces, and enforce endpoint accountability."
How can I check why an access point is showing as 'Alerting' in Meraki Dashboard?,"In Meraki Dashboard, go to Wireless > Access Points, click on the affected AP, and review the Connectivity and Event Log tabs. Common alert reasons include:
- Ethernet link down or negotiation issues
- DHCP failure (no IP assigned)
- Loss of cloud connectivity (due to firewall, DNS, or ISP issues)
- Low power due to insufficient PoE budget

Additionally, run the “Live Tools” (ping, traceroute, throughput) directly from the dashboard to diagnose in real time. Alerts can also be tied to firmware compatibility or environmental conditions like high temperature. Consistent alerting often indicates a deeper network design or power issue."
How do I configure inter-VLAN routing on a Layer 3 switch?,"Inter-VLAN routing allows traffic to move between VLANs on a Layer 3 switch without needing an external router. To configure:

1. Define VLANs and assign them to access ports:
vlan 10
 name Users
interface range gig0/1-10
 switchport mode access
 switchport access vlan 10

2. Create SVIs (Switched Virtual Interfaces) for each VLAN:
interface vlan 10
 ip address 192.168.10.1 255.255.255.0
 no shutdown

3. Enable routing:
ip routing

Each SVI acts as the default gateway for its VLAN. Devices must have the correct gateway and VLAN assignment. You can verify routing with 'show ip route' and test connectivity with 'ping'."
What does it mean if a port is in 'err-disabled' state on a Cisco switch?,"A port in 'err-disabled' state has been shut down automatically by the switch due to a policy violation. Common triggers include:
- Port security violation (unknown MAC)
- BPDU Guard detecting an unexpected BPDU
- Loop guard or UDLD
- Link flapping or excessive errors

Check the reason using:
show interfaces status err-disabled
show errdisable recovery

To recover manually:
interface gig0/3
 shutdown
 no shutdown

Or enable auto-recovery for specific causes with 'errdisable recovery cause <feature>'. Always investigate and resolve the root issue before re-enabling the port."
How do I back up and restore configuration on an Aruba switch?,"For AOS-Switch (legacy), use:
copy running-config tftp <TFTP server IP> <filename>
copy tftp <TFTP server IP> <filename> running-config

For AOS-CX switches, use REST API, SCP, or USB. Example for SCP:
copy running-config scp://admin@192.168.1.10/configs/backup.cfg vrf mgmt

After restoring a config, verify with 'show running-config', and apply 'write memory' to save it permanently. You can also automate backups using Aruba Central or scripts."
What is the role of SNMP in network devices?,"SNMP (Simple Network Management Protocol) enables centralized monitoring and management of network infrastructure. It operates using agents on devices and a central NMS (Network Management System). Devices expose metrics through MIBs (Management Information Bases), which are queried by SNMP GET requests.

Administrators can monitor:
- Interface status and errors
- Device temperature and CPU
- VLAN and traffic stats
- Traps for events like link-down or power loss

SNMP v3 adds encryption and authentication for security. It remains widely used for inventory, monitoring dashboards, and alert systems like Nagios or Zabbix."
How does Meraki handle firmware updates for switches?,"Meraki provides automatic, cloud-managed firmware updates for all hardware, including switches. Updates can be scheduled under Organization > Firmware Upgrades, where you can choose between stable, beta, or release candidate builds.

Devices check for firmware at regular intervals and download updates securely. During scheduled windows, switches reboot to apply the update, which causes a short downtime. Meraki also sends notification emails before the window. You can delay or reschedule if needed. This cloud-based model simplifies compliance and keeps networks secure without requiring CLI commands or manual uploads."
How do I configure static routing on a Cisco Layer 3 switch?,"To configure static routing on a Cisco Layer 3 switch, you first need to ensure IP routing is enabled globally:

ip routing

Then define a static route with:

ip route <destination network> <subnet mask> <next hop IP>

For example:

ip route 10.20.0.0 255.255.255.0 192.168.1.1

This tells the switch to send traffic destined for the 10.20.0.0/24 network to the next hop at 192.168.1.1. Use 'show ip route' to confirm the route is in the routing table."
What is the purpose of Access Control Lists (ACLs) on switches and routers?,"ACLs are used to filter network traffic by permitting or denying packets based on criteria like source IP, destination IP, protocol, or port number. They enhance security by restricting access to sensitive resources or controlling traffic flow.

For example, a standard ACL on a Cisco router might look like:
access-list 10 deny 192.168.1.0 0.0.0.255
access-list 10 permit any

And applied on an interface:
interface GigabitEthernet0/1
 ip access-group 10 in

ACLs can be used to block specific hosts, limit access to management interfaces, or enforce security zones.

Note: Standard ACLs match only source IPs. For better control, extended ACLs are preferred in most security use cases."
How can I view system logs on an Aruba switch?,"On Aruba switches, logs can be accessed using the 'show logging' command. This displays system events such as interface status changes, login attempts, configuration changes, and protocol errors.

For more persistent logging or external monitoring, you can configure a syslog server:
logging <syslog-server-ip>

You can also filter logs by severity or module. On AOS-CX models, use:
show events

Regular log monitoring helps with troubleshooting and auditing."
How do Meraki MR access points determine the best channel and transmit power?,"Meraki MR access points use a feature called Auto RF to dynamically choose the best channel and transmit power based on:
- RF congestion (channel utilization)
- Neighboring AP interference
- Client signal strength
- Environmental noise

The APs continuously scan the RF environment and adjust parameters periodically, based on network conditions. Changes are coordinated by Meraki cloud algorithms to avoid co-channel interference and optimize performance across the deployment. Admins can override these settings manually in the dashboard if needed."
What is a DHCP IP conflict and how is it handled by network devices?,"A DHCP IP conflict occurs when two devices on the same network are assigned or configured with the same IP address. This causes communication issues and ARP instability.

Some DHCP servers use conflict detection by sending ICMP echo requests (ping) to the address before assigning it. If a response is received, the IP is marked as in-use and not assigned.

On Cisco and Aruba devices, you can enable DHCP conflict logging and verify with commands like 'show ip dhcp conflict'. Static IPs outside the DHCP pool and careful lease management help reduce conflict risks."
How do I configure NAT on a Cisco router?,"To configure NAT (Network Address Translation) on a Cisco router for internet access:

1. Define inside and outside interfaces:
interface GigabitEthernet0/0
 ip address 192.168.1.1 255.255.255.0
 ip nat inside

interface GigabitEthernet0/1
 ip address 203.0.113.1 (your ISP-assigned public IP) <mask>
 ip nat outside

2. Create a NAT rule:
access-list 1 permit 192.168.1.0 0.0.0.255
ip nat inside source list 1 interface GigabitEthernet0/1 overload

This setup uses PAT (Port Address Translation) to allow multiple internal devices to share one public IP."
